Ticker,Debt-to-Equity Ratio,EPS,Net Income,Gross Profit,Operating Income
AAPL,5.408779631255487,,93736000000.0,180683000000.0,123216000000.0
NVDA,0.529340592861464,1.1932638331996792,29760000000.0,44301000000.0,32972000000.0
MSFT,0.9076606189729474,11.800240996117285,88136000000.0,171008000000.0,109433000000.0
GOOGL,0.41997819175027085,5.800581669548813,73795000000.0,174062000000.0,84293000000.0
AMZN,1.6147566563467493,2.8998284407167367,30425000000.0,93805000000.0,36852000000.0
META,0.49915778752742085,14.871814378090528,39098000000.0,108943000000.0,46751000000.0
TSLA,0.6866717757128716,4.303873744619799,14999000000.0,17660000000.0,8891000000.0
AVGO,1.4475457312568338,1.2337798241942235,5895000000.0,32509000000.0,14996000000.0
WMT,1.9297170317549277,1.9130488406512087,15511000000.0,157983000000.0,27012000000.0
LLY,4.933447209870125,5.801497646365927,5240400000.0,27041900000.0,10787300000.0
V,1.4148759485908475,9.730409068506653,19743000000.0,28884000000.0,24057000000.0
UNH,1.9694555861012213,23.860341151385928,22381000000.0,86869000000.0,28269000000.0
XOM,0.7996943389224714,8.886969397828233,36010000000.0,84142000000.0,44461000000.0
MA,5.1163227016885555,11.834038054968287,11195000000.0,19076000000.0,14630000000.0
ORCL,15.135225183823529,3.7077577045696066,10467000000.0,37818000000.0,16071000000.0
COST,1.9561849123698247,16.564026810025204,7367000000.0,32095000000.0,9285000000.0
HD,72.30459770114942,15.112774451097804,15143000000.0,50960000000.0,21689000000.0
NVO,1.9512298120325446,18.6177360505473,83683000000.0,196496000000.0,102574000000.0
PG,1.4280714314123215,6.019256442412719,14879000000.0,43191000000.0,19886000000.0
NFLX,1.3669735349370296,12.031177001899897,5407990000.0,14007929000.0,6954003000.0
JNJ,1.4363567627301015,13.729495391345102,35153000000.0,58606000000.0,23409000000.0
ABBV,11.999420849420849,2.742808798646362,4863000000.0,33903000000.0,12757000000.0
CRM,0.6735908526975825,4.203252032520325,4136000000.0,26316000000.0,5999000000.0
SAP,0.5776351460944922,5.202542372881356,6139000000.0,22534000000.0,6002000000.0
ASML,1.9702878296809492,19.890890636894188,7839000000.0,14136100000.0,9042300000.0
CVX,0.6194387320837242,11.364633541224917,21369000000.0,60391000000.0,26229000000.0
KO,2.707027485447747,2.4692325420603827,10714000000.0,27234000000.0,13083000000.0
MRK,1.8370985338335861,0.14000000000767124,365000000.0,43989000000.0,2954000000.0
TMUS,2.2091787066367923,6.929180354262556,8317000000.0,48370000000.0,14241000000.0
TM,1.6035467237053422,3659.430639640141,4944933000000.0,9368318000000.0,5352935000000.0
CSCO,1.7369382053369118,2.5406203840472674,10320000000.0,34828000000.0,12970000000.0
ACN,0.94610802510661,11.423697986220851,7264787000.0,21162317000.0,9595847000.0
NOW,1.2793654955427374,8.419629263926923,1731000000.0,7050000000.0,762000000.0
AZN,1.582735099506936,1.9062099871959026,5955000000.0,37543000000.0,8722000000.0
TMO,1.110174387504012,15.45103092783505,5995000000.0,17100000000.0,7318000000.0
IBM,4.998357963875205,8.136007955319604,7502000000.0,34300000000.0,9374000000.0
MCD,-12.92912231499777,11.564659292639629,8468800000.0,14562500000.0,11745600000.0
NVS,1.1398847151091778,7.098470363288719,14850000000.0,34188000000.0,9769000000.0
DIS,0.9007011202033844,2.7154560349535775,4972000000.0,32663000000.0,11914000000.0
LIN,0.9998992950654582,12.592171281155416,6199000000.0,15362000000.0,8269000000.0
SHEL,1.16773754467946,5.693990999735286,19359000000.0,47207000000.0,30737000000.0
PEP,4.424039344971086,6.561099060014461,9074000000.0,49590000000.0,12913000000.0
ISRG,0.15361147013736512,5.030777839955232,1798000000.0,4729500000.0,1766800000.0
ABT,0.8907856902313291,3.272155517438536,5723000000.0,22134000000.0,6478000000.0
BABA,0.6611261129762078,31.43926518984233,80009000000.0,354845000000.0,123871000000.0
AMD,0.21457453660631218,0.5255384615384615,854000000.0,10460000000.0,401000000.0
GE,4.911425231938052,8.626933575978162,9481000000.0,17562000000.0,3574000000.0
PM,-6.65924276169265,5.030907920154539,7813000000.0,22281000000.0,12176000000.0
ADBE,1.1432116270825947,12.363798087613965,5560000000.0,19147000000.0,7741000000.0
INTU,0.7428943371664135,10.433098591549296,2963000000.0,12820000000.0,3877000000.0
QCOM,1.099185506584456,8.975221238938053,10142000000.0,21902000000.0,10071000000.0
TXN,0.9144226785819968,7.106986899563319,6510000000.0,11019000000.0,7331000000.0
CAT,3.4868677541807735,20.122663551401867,10335000000.0,23263000000.0,12966000000.0
DHR,0.5795535280260256,6.410981025433993,4764000000.0,14034000000.0,5279000000.0
VZ,3.0991669371416206,2.7553973902728353,11614000000.0,79087000000.0,28718000000.0
T,2.784640405820111,1.9840176357123174,14400000000.0,72305000000.0,24654000000.0
RTX,1.6793872704772734,2.225860387348474,3195000000.0,12089000000.0,5341000000.0
PLTR,0.27663447713908634,0.0913105594738214,209825000.0,1793907000.0,119966000.0
PFE,1.5414766216550206,0.3755094807726387,2119000000.0,33542000000.0,3359000000.0
SPGI,0.6575730994152047,8.234556287237378,2626000000.0,8356000000.0,4054000000.0
FMX,1.406855130652274,183.57979624540206,65689000000.0,279507000000.0,57358000000.0
BLK,2.0832846214450913,36.50962176509622,5502000000.0,8347000000.0,6333000000.0
ARM,0.49707271010387155,0.2929639727305611,306000000.0,3079000000.0,117000000.0
ANET,0.37785354019131856,6.581805855550475,2087321000.0,3630281000.0,2257249000.0
HON,2.843340060544904,8.467524693205627,5658000000.0,13667000000.0,7554000000.0
AMAT,0.8109046892268827,8.605515587529975,7177000000.0,12897000000.0,7867000000.0
AMGN,14.589537869062902,12.485130111524164,6717000000.0,19739000000.0,7897000000.0
BSX,0.8093978528084643,1.0884865049538777,1593000000.0,9895000000.0,2417000000.0
LOW,-3.7770764119601328,13.229452054794521,7726000000.0,28844000000.0,11557000000.0
CMCSA,2.1927136863233496,3.7097396335583412,15388000000.0,84810000000.0,23313000000.0
SYK,1.1466143172161567,8.248631743549648,3165000000.0,13058000000.0,3906000000.0
UBER,2.3128278069161703,0.9021016530403264,1887000000.0,14824000000.0,1110000000.0
NEE,2.5221412319878653,3.599212210733629,7310000000.0,17976000000.0,9832000000.0
UNP,3.5396267243711117,10.453949524745985,6379000000.0,10529000000.0,9082000000.0
ETN,1.017177978566926,8.022936923460483,3218000000.0,8434000000.0,3885000000.0
TJX,3.073815393043002,3.8602243313201035,4474000000.0,16266000000.0,5797000000.0
SHOP,0.24630487535848225,0.10189026629048112,132000000.0,3515000000.0,-78000000.0
PDD,0.8589784908222883,41.116676227774704,60026544000.0,155915628000.0,58698762000.0
COP,0.946549240041397,9.087855350737138,10957000000.0,18203000000.0,15026000000.0
KKR,11.326774924236704,4.093345515544081,3732261000.0,4860651000.0,2138148000.0
BA,-8.950269831137932,-3.6660617059891107,-2222000000.0,7724000000.0,-821000000.0
TTE,1.4063964095141024,8.719999999934755,21384000000.0,62373000000.0,30857000000.0
EADSY,5.715795422435717,1.1994141024500515,3789000000.0,10044000000.0,4266000000.0
BHP,1.2275095679439296,,7897000000.0,40545000000.0,22905000000.0
SNY,0.7038222582387899,2.1489971346704873,5400000000.0,32208000000.0,10392000000.0
SONY,3.4731475224579578,157.13569885318185,970573000000.0,3325081000000.0,1166986000000.0
RTNTF,0.8648371377276225,6.16487894575544,10058000000.0,32401000000.0,16021000000.0
ADP,10.954151640425719,9.102377486656962,3752000000.0,7701200000.0,3956500000.0
FI,2.016980942492548,4.980000000227249,3068000000.0,11423000000.0,4847000000.0
BMY,2.231532449881074,3.861886429258903,8025000000.0,34313000000.0,8195000000.0
PANW,2.866936185852177,7.28135593220339,2577600000.0,5968300000.0,683900000.0
DE,3.695699772289368,,7100000000.0,19495000000.0,11427000000.0
GILD,1.7245215258616915,4.503179650238474,5665000000.0,20618000000.0,8810000000.0
MU,0.538100197203696,0.6958855098389982,778000000.0,5613000000.0,1246000000.0
LMT,6.67461594732992,27.547770700636942,6920000000.0,8479000000.0,8507000000.0
APP,3.26575124827971,0.9837881402583021,356711000.0,2223896000.0,648207000.0
ADI,0.37104396119696104,3.279091311958965,1635273000.0,5381343000.0,2070056000.0
NKE,1.641025641025641,3.7262208276132576,5700000000.0,22887000000.0,6311000000.0
VRTX,0.29292848854406045,13.894817658349329,3619600000.0,8607000000.0,4307500000.0
UPS,3.0938980700335144,7.8,6708000000.0,17231000000.0,9141000000.0
SBUX,-5.206258642215629,,3760900000.0,9709100000.0,5107600000.0
MDT,0.7878480105149959,2.7634942113967824,3676000000.0,21148000000.0,5520000000.0
MMC,2.9251086867361167,7.527054108216433,3756000000.0,9637000000.0,5282000000.0
GEV,4.775862068965517,-1.9846842942111287,-540000000.0,4803000000.0,-1021000000.0
MRVL,0.4313213857086991,-1.0837106699175665,-933400000.0,2293600000.0,-436600000.0
LRCX,1.195073361833204,2.8999371188302585,3827772000.0,7052791000.0,4282100000.0
CEG,3.6129977116704803,5.0092592592592595,1623000000.0,3232000000.0,2405000000.0
PLD,0.6618273600908462,3.214165714952127,3059214000.0,6013134000.0,3084483000.0
RIO,0.8648371377276225,6.16487894575544,10058000000.0,32401000000.0,15712000000.0
ENB,1.8848895108536465,3.008260447035957,6191000000.0,17670000000.0,9205000000.0
INFY,0.560469741452789,0.7641119881999104,3167000000.0,5587000000.0,3849000000.0
SPOT,2.3079667063020213,-2.731955556793494,-532000000.0,3397000000.0,-446000000.0
AIQUY,0.9575601833768477,,3078000000.0,16460800000.0,5068000000.0
KLAC,3.581966483074095,20.280173584850242,2761896000.0,5884174000.0,3635684000.0
BUD,1.5475515589873912,2.6002921129503407,5341000000.0,31984000000.0,14260000000.0
MELI,4.746011071312276,19.350338366251126,987000000.0,7206000000.0,1823000000.0
SO,3.3108383157359116,3.6211293260473587,3976000000.0,11708000000.0,5826000000.0
APO,20.524280831671888,8.571671195652174,5047000000.0,31617000000.0,6146000000.0
CFRUY,1.0743141172457482,,2362000000.0,14036000000.0,4793000000.0
EQIX,1.612410594565059,10.309417183461157,969178000.0,3960478000.0,1450640000.0
